Año;Numero de Mes;Mes;Destino;Volumen Exportado (kg);Valor FOB (USD);Precio FOB por kg (USD)
2013;8;Agosto;Lebanon;;;
2013;8;Agosto;Others;;;
2013;8;Agosto;Spain;;;
2013;8;Agosto;Syria;;;
2013;8;Agosto;USA;;;
2013;9;Septiembre;Chile;;;
2013;9;Septiembre;Lebanon;;;
2013;9;Septiembre;Others;;;
2013;9;Septiembre;Spain;;;
2013;9;Septiembre;Syria;;;
2013;9;Septiembre;USA;;;
2013;10;Octubre;Chile;;;
2013;10;Octubre;Lebanon;;;
2013;10;Octubre;Others;;;
2013;10;Octubre;Spain;;;
2013;10;Octubre;Syria;;;
2013;10;Octubre;USA;;;
2013;11;Noviembre;Chile;;;
2013;11;Noviembre;Lebanon;;;
2013;11;Noviembre;Others;;;
2013;11;Noviembre;Spain;;;
2013;11;Noviembre;Syria;;;
2013;11;Noviembre;USA;;;
2013;12;Diciembre;Chile;;;
2013;12;Diciembre;Lebanon;;;
2013;12;Diciembre;Others;;;
2013;12;Diciembre;Spain;;;
2013;12;Diciembre;Syria;;;
2013;12;Diciembre;USA;;;
2014;1;Enero;Chile;;;
2014;1;Enero;Lebanon;;;
2014;1;Enero;Others;;;
2014;1;Enero;Spain;;;
2014;1;Enero;Syria;;;
2014;1;Enero;USA;;;
2014;2;Febrero;Chile;;;
2014;2;Febrero;Lebanon;;;
2014;2;Febrero;Others;;;
2014;2;Febrero;Spain;;;
2014;2;Febrero;Syria;;;
2014;2;Febrero;USA;;;
2014;3;Marzo;Chile;;;
2014;3;Marzo;Lebanon;;;
2014;3;Marzo;Others;;;
2014;3;Marzo;Spain;;;
2014;3;Marzo;Syria;;;
2014;3;Marzo;USA;;;
2014;4;Abril;Chile;;;
2014;4;Abril;Lebanon;;;
2014;4;Abril;Others;;;
2014;4;Abril;Spain;;;
2014;4;Abril;Syria;;;
2014;4;Abril;USA;;;
2014;5;Mayo;Chile;;;
2014;5;Mayo;Lebanon;;;
2014;5;Mayo;Others;;;
2014;5;Mayo;Spain;;;
2014;5;Mayo;Syria;;;
2014;5;Mayo;USA;;;
2014;6;Junio;Chile;;;
2014;6;Junio;Lebanon;;;
2014;6;Junio;Others;;;
2014;6;Junio;Spain;;;
2014;6;Junio;Syria;;;
2014;6;Junio;USA;;;
2014;7;Julio;Chile;;;
2014;7;Julio;Lebanon;;;
2014;7;Julio;Others;;;
2014;7;Julio;Spain;;;
